pair,source,label,a,b,phash_min,file_same,text_same,text_len_a,text_len_b,prefix,tfidf,jaccard,files_per_text,same_channel,days,std_a,std_b
1,cluster_phash,not,8268,17115,12,0,0,0,0,0,,,0,0,86,47.26,45.8
2,cluster_text,not,5595,5596,30,0,0,178,105,0,0.009,0.023,1,1,1,52.62,14.18
3,cluster_phash,not,18221,22435,0,0,0,350,860,0,0.071,0.052,1,0,15,36.12,36.32
4,near_phash,not,708,708,0,1,1,519,519,0,1.0,1.0,1,1,0,41.99,41.99
5,near_text,not,22432,22472,16,0,0,869,960,0,0.51,0.205,1,1,56,76.66,66.12
6,cluster_phash,not,4415,21032,0,0,0,63,223,0,0.0,0.0,1,0,95,49.34,44.9
7,cluster_text,dup,18433,24923,0,1,1,255,255,0,1.0,1.0,1,0,1,52.04,52.04
8,cluster_file,dup,5174,20094,4,0,0,209,146,0,0.213,0.125,1,0,1,27.44,27.6
9,near_text,not,5365,5366,30,0,0,329,0,0,,,1,1,1,47.36,44.99
10,near_phash,not,4861,5369,12,0,0,40,321,0,0.0,0.0,1,1,41,20.58,88.77
11,cluster_text,not,9156,9318,,0,0,236,46,0,0.038,0.056,1,1,15,91.14,
12,near_text,not,22634,22889,30,0,0,56,63,0,0.59,0.4,1,1,23,22.48,25.55
13,cluster_phash,not,18207,22695,0,0,0,319,354,0,0.089,0.078,1,0,1,47.09,47.11
14,cluster_file,dup,4880,19660,0,1,0,105,68,0,0.359,0.526,1,0,1,34.52,34.52
15,cluster_phash,dup,10777,14284,2,0,0,0,247,0,,,1,0,1,50.8,50.64
16,cluster_file,dup,18064,18128,0,1,0,848,928,0,0.173,0.166,1,1,3,85.04,85.04
17,near_text,not,18712,19529,34,0,0,79,79,0,0.512,0.389,1,1,36,65.42,39.25
18,cluster_phash,dup,8809,9588,0,0,0,0,0,0,,,0,1,63,56.16,56.5
19,cluster_text,not,4745,4749,26,0,0,77,45,0,0.028,0.053,1,1,1,65.12,37.39
20,near_text,not,7430,7542,24,0,0,57,58,0,0.927,0.818,1,1,49,39.35,35.13
21,cluster_file,dup,8323,9547,0,1,0,0,0,0,,,0,1,95,72.45,72.45
22,near_text,not,20859,20787,30,0,0,92,68,0,0.78,0.438,1,1,3,24.83,10.85
23,cluster_file,dup,16370,17407,0,1,0,0,0,0,,,0,1,113,61.85,61.85
24,cluster_text,dup,21943,24976,0,1,1,555,555,0,1.0,1.0,1,0,1,36.1,36.1
25,near_phash,not,11183,23636,12,0,0,535,823,0,0.023,0.043,1,0,41,69.38,48.65
26,near_phash,not,3411,18561,,0,0,1340,91,0,0.003,0.012,1,0,140,2.29,32.67
27,cluster_file,dup,16154,17103,0,1,0,0,0,0,,,0,1,103,53.61,53.61
28,cluster_text,not,4072,4818,32,0,1,59,59,0,1.0,1.0,2,1,51,44.08,40.99
29,cluster_phash,dup,19299,19373,0,0,0,1459,1052,0,0.113,0.112,1,1,3,76.86,76.99
30,near_text,not,22180,22345,28,0,0,670,315,0,0.647,0.368,1,1,59,41.38,84.98
31,near_text,not,6459,6571,24,0,0,69,72,0,0.696,0.429,1,1,21,68.0,64.19
32,cluster_phash,not,2441,18125,,0,0,603,145,0,0.008,0.042,0,0,27,6.74,1.88
33,near_phash,not,4524,4836,12,0,0,272,0,0,,,1,1,21,50.35,37.45
34,near_phash,not,15802,15802,0,1,1,147,147,0,1.0,1.0,1,1,0,53.67,53.67
35,near_text,not,4769,5744,38,0,0,45,42,0,0.592,0.4,1,1,79,43.38,56.67
36,near_text,not,11162,12400,18,0,0,420,432,0,0.597,0.422,1,1,98,48.61,47.28
37,cluster_text,not,21750,21752,26,0,0,88,83,0,0.789,0.429,1,1,1,25.08,55.35
38,cluster_phash,not,18404,11860,14,0,0,563,173,0,0.001,0.022,1,0,88,21.34,27.42
39,cluster_phash,not,18807,19337,0,0,0,95,199,0,0.109,0.081,1,1,24,45.26,45.27
40,cluster_file,dup,21896,21948,0,1,0,1039,1082,0,0.07,0.066,1,1,3,81.16,81.16
41,cluster_text,dup,5350,20419,0,0,0,83,144,0,0.352,0.333,1,0,1,51.69,51.8
42,cluster_text,dup,24757,20033,,0,1,1353,1353,0,1.0,1.0,0,0,1,,
43,cluster_text,not,6457,6458,30,0,0,222,322,0,0.068,0.091,1,1,1,49.27,12.53
44,cluster_file,dup,17265,17716,0,1,0,0,0,0,,,0,1,49,50.54,50.54
45,near_phash,not,2190,18404,12,0,0,834,563,0,0.005,0.035,1,0,21,42.4,21.34
46,cluster_file,dup,16691,17354,0,1,0,0,0,0,,,0,1,71,55.68,55.68
47,cluster_text,not,10418,10419,,0,0,29,72,0,0.0,0.0,0,1,1,,
48,near_text,not,19784,20032,,0,0,120,105,0,0.704,0.556,0,1,14,,
49,cluster_phash,dup,8760,17134,0,0,0,0,0,0,,,0,0,53,51.54,51.5
50,cluster_text,dup,3741,6007,28,0,1,921,921,0,1.0,1.0,2,0,0,23.82,14.68
51,near_text,not,4072,4920,34,0,0,59,54,0,0.588,0.556,2,1,59,44.08,67.46
52,cluster_file,dup,16547,16812,0,1,0,0,0,0,,,0,1,28,43.07,43.07
53,near_text,not,22554,22784,24,0,0,62,46,0,0.41,0.385,1,1,22,27.29,25.11
54,cluster_phash,dup,4295,18724,0,0,0,152,96,0,0.264,0.152,1,0,1,41.06,41.06
55,cluster_text,not,6061,6102,28,0,0,171,262,0,0.197,0.111,1,1,3,93.7,23.26
56,cluster_phash,not,4149,7946,2,0,0,827,958,0,0.038,0.052,1,0,42,23.13,23.92
57,cluster_text,not,11022,11023,,0,0,118,110,0,0.009,0.054,0,1,1,,
58,near_text,not,7494,7663,22,0,0,57,58,0,0.927,0.818,1,1,77,70.07,45.45
59,near_phash,not,1237,19487,8,0,0,263,61,0,0.002,0.045,1,0,71,32.29,94.93
60,near_phash,not,8920,18841,12,0,0,0,59,0,,,1,0,18,59.97,44.75
61,near_phash,not,6471,20638,12,0,0,317,91,0,0.0,0.033,1,0,89,46.74,53.54
62,near_text,not,7462,7777,36,0,0,57,57,0,0.739,0.667,1,1,141,33.82,70.85
63,near_phash,not,3599,18107,12,0,0,992,131,0,0.0,0.007,1,0,64,33.43,99.68
64,cluster_file,dup,16371,17405,0,1,0,0,0,0,,,0,1,113,27.44,27.44
65,cluster_file,not,724,786,0,1,0,401,558,0,0.12,0.081,1,1,11,37.1,37.1
66,near_phash,not,15523,15880,12,0,0,59,143,0,0.05,0.037,1,1,74,31.56,33.58
67,cluster_text,not,21418,21427,38,0,0,94,84,0,0.0,0.0,1,1,1,61.45,48.4
68,near_phash,not,4119,5934,8,0,0,412,615,0,0.039,0.055,1,1,138,52.47,51.42
69,cluster_file,dup,16795,17767,0,1,0,0,0,0,,,0,1,105,72.59,72.59
70,cluster_phash,dup,8575,8583,0,0,0,0,0,0,,,0,1,1,34.95,34.93
71,near_phash,not,6285,6285,0,1,1,66,66,0,1.0,1.0,1,1,0,44.02,44.02
72,cluster_text,dup,24808,20763,,0,1,1047,1047,0,1.0,1.0,0,0,1,,
73,cluster_file,dup,16322,16619,0,1,0,0,0,0,,,0,1,34,44.83,44.83
74,near_phash,not,14955,23277,12,0,0,29,86,0,0.0,0.062,1,0,70,29.95,40.47
75,cluster_file,dup,17031,17356,0,1,0,0,0,0,,,0,1,35,67.08,67.08
76,cluster_text,not,4745,4747,26,0,0,77,108,0,0.086,0.08,1,1,1,65.12,47.1
77,cluster_file,dup,16261,17281,0,1,0,0,0,0,,,0,1,111,86.21,86.21
78,near_phash,not,6742,6960,12,0,0,1799,1598,0,0.045,0.061,1,1,39,37.8,14.26
79,cluster_text,not,6413,6422,28,0,0,219,565,0,0.039,0.084,1,1,1,47.79,40.92
80,near_text,not,14173,15055,34,0,0,45,51,0,0.573,0.357,1,1,143,66.45,57.48
